solution,scenario,product,to,V
POS10,s3,die,Brt,3949
POS10,s3,die,Srl,22055
POS10,s3,die,Amj,15368
POS10,s3,die,Ctw,98535
POS10,s3,die,Bhw,7560
POS10,s3,pet,Chr,1197
POS10,s3,pet,Brt,1381
POS10,s3,pet,Srl,945
POS10,s3,pet,Amj,2102
POS10,s3,pet,Ctw,3465
POS10,s3,pet,Ktm,760
POS10,s3,pet,Pkr,10760
POS10,s3,pet,Bhw,32440
POS10,s3,pet,Npj,760
POS10,s3,pet,Dhn,760
POS11,s3,die,Chr,38803
POS11,s3,die,Brt,4201
POS11,s3,die,Srl,22055
POS11,s3,die,Amj,15179
POS11,s3,die,Ctw,98472
POS11,s3,die,Bhw,7560
POS11,s3,pet,Chr,1197
POS11,s3,pet,Brt,1129
POS11,s3,pet,Srl,945
POS11,s3,pet,Amj,2291
POS11,s3,pet,Ctw,3528
POS11,s3,pet,Ktm,760
POS11,s3,pet,Pkr,10760
POS11,s3,pet,Bhw,32440
POS11,s3,pet,Npj,760
POS11,s3,pet,Dhn,760
POS12,s3,die,Chr,38560
POS12,s3,die,Brt,4252
POS12,s3,die,Srl,22055
POS12,s3,die,Amj,15179
POS12,s3,die,Ctw,98472
POS12,s3,die,Bhw,7560
POS12,s3,pet,Chr,1440
POS12,s3,pet,Brt,1078
POS12,s3,pet,Srl,945
POS12,s3,pet,Amj,2291
POS12,s3,pet,Ctw,3528
POS12,s3,pet,Ktm,760
POS12,s3,pet,Pkr,10760
POS12,s3,pet,Bhw,32440
POS12,s3,pet,Npj,760
POS12,s3,pet,Dhn,760
POS13,s3,die,Chr,38034
POS13,s3,die,Brt,4252
POS13,s3,die,Srl,22055
POS13,s3,die,Amj,15179
POS13,s3,die,Ctw,98472
POS13,s3,die,Bhw,7560
POS13,s3,die,Npj,718
POS13,s3,pet,Chr,1966
POS13,s3,pet,Brt,1078
POS13,s3,pet,Srl,945
POS13,s3,pet,Amj,2291
POS13,s3,pet,Ctw,3528
POS13,s3,pet,Ktm,760
POS13,s3,pet,Pkr,10760
POS13,s3,pet,Bhw,32440
POS13,s3,pet,Npj,42
POS13,s3,pet,Dhn,760
POS14,s3,die,Chr,38560
POS14,s3,die,Brt,4252
POS14,s3,die,Srl,22055
POS14,s3,die,Amj,15179
POS14,s3,die,Ctw,98472
POS14,s3,die,Bhw,7560
POS14,s3,pet,Chr,1440
POS14,s3,pet,Brt,1078
POS14,s3,pet,Srl,945
POS14,s3,pet,Amj,2291
POS14,s3,pet,Ctw,3528
POS14,s3,pet,Ktm,760
POS14,s3,pet,Pkr,10760
POS14,s3,pet,Bhw,32440
POS14,s3,pet,Npj,760
POS14,s3,pet,Dhn,760
POS15,s3,die,Chr,38560
